Set,Bonafide Or Spoof,Language,Singer,Title,Model,Url
Training,bonafide,Mandarin,Bella_Yao,姚贝娜——也许明天 很少有这样人人都说好听的歌,N/A,https://www.bilibili.com/video/BV1wx411U7YC/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,bonafide,Mandarin,Bella_Yao,【姚贝娜】[2014央视春晚]歌曲《天耀中华》 [超清1080p],N/A,https://www.bilibili.com/video/BV1zE41187bf/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,bonafide,Mandarin,Bella_Yao,【姚贝娜】 史诗绝唱《鱼》,N/A,https://www.bilibili.com/video/BV1kx411P7Xb/?spm_id_from=333.788.recommend_more_video.-1&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,bonafide,Mandarin,Bella_Yao,【4K修复】姚贝娜《随它吧》MV（《冰雪奇缘》中文主题曲片尾流行版）,N/A,https://www.bilibili.com/video/BV1E8411W7RG/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,bonafide,Mandarin,Bella_Yao,【姚贝娜】听姚贝娜现场演唱《随它吧》，让人欲罢不能,N/A,https://www.bilibili.com/video/BV1CW411G7EQ/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,bonafide,Mandarin,Bella_Yao,【4K 60fps】姚贝娜 - Beautiful Light 4K修复版 官方版MV 广汽丰田雅力士L致炫广告曲,N/A,https://www.bilibili.com/video/BV1mP4y1g7HX/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,bonafide,Mandarin,Bella_Yao,姚贝娜经典歌曲《菩萨蛮》，好听到爆，可惜才女却不在了,N/A,https://www.bilibili.com/video/BV1yb411K7zM/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,bonafide,Mandarin,Bella_Yao,【姚贝娜】摇滚版《山歌好比春江水》 全程高能！很强很暴力！,N/A,https://www.bilibili.com/video/BV1pF411c7yV/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,bonafide,Mandarin,Bella_Yao,【姚贝娜】元旦晚会唯美现场《画情》，直抵灵魂深处的好歌声,N/A,https://www.bilibili.com/video/BV1rx411L7Ay/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,bonafide,Mandarin,Bella_Yao,【演出106】离不开你-姚贝娜,N/A,https://www.bilibili.com/video/BV1qb411k7bM/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120
