Language,Model,Platform,Singer,Title,Url,SingFake_Set,Bonafide Or Deepfake,Created At,is_test_A,is_test_B
Mandarin,Sovits4.0,youtube,A-Mei,AI翻唱 AI張惠妹《暗號》cover 周杰倫 ai cover 我害怕你心碎沒人幫你擦眼淚 AI张惠妹 高音質 純享版 ai song 320kbps - YouTube,https://www.youtube.com/watch?v=xIrLaA6lfHs,,deepfake,1711414429942.0,False,False
Mandarin,,youtube,A-Mei,張惠妹A-Mei - 如果你也聽說 Have You Heard Lately? (official官方完整版MV) - YouTube,https://www.youtube.com/watch?v=xrUyk79DLbg,,bonafide,1711414477383.0,False,False
Mandarin,Sovits4.0,youtube,A-Mei,AI翻唱 AI張惠妹《NEW BOY》cover 樸樹 ai cover 是的我看見到處是陽光 AI张惠妹 高音質 純享版 ai song 320kbps - YouTube,https://www.youtube.com/watch?v=VNx7KwvzcTI,,deepfake,1711414452544.0,False,False
Mandarin,unknown,youtube,A-Mei,【AI張惠妹】《達爾文》cover 蔡健雅 - YouTube,https://www.youtube.com/watch?v=-6LCZ2uXN3w,,deepfake,1707892916946.0,False,False
Mandarin,Sovits4.0,youtube,A-Mei,AI翻唱 AI張惠妹《一路向北》cover 周杰倫 ai cover 我一路向北 離開有你的季節 AI张惠妹 高音質 純享版 ai song 320kbps - YouTube,https://www.youtube.com/watch?v=VC8NFySU_6Q,,deepfake,1710308762934.0,False,False
Mandarin,unknown,youtube,A-Mei,AI 張惠妹 一場遊戲一場夢 - YouTube,https://www.youtube.com/watch?v=dfYtalnjzw0,,deepfake,1709417608568.0,False,False
Mandarin,unknown,youtube,A-Mei,AI翻唱 AI張惠妹《我還年輕 我還年輕》cover 老王樂隊 ai cover 給我一瓶酒 再給我一支菸 AI张惠妹 高音質 純享版 ai song 320kbps - YouTube,https://www.youtube.com/watch?v=NfQJGPe6j5k,,deepfake,1709394981133.0,False,False
Mandarin,unknown,youtube,A-Mei,AI翻唱 AI張惠妹《刻在我心底的名字》cover 盧廣仲 ai cover 刻在我心底的名字 忘記了時間這回事 AI张惠妹 高音質 純享版 ai song 320kbps - YouTube,https://www.youtube.com/watch?v=jhUl7E25TEE,,deepfake,1708927202996.0,False,False
Mandarin,unknown,youtube,A-Mei,【AI張惠妹】《黃昏》cover 周傳雄 - YouTube,https://www.youtube.com/watch?v=LkBtbWKMAvk,,deepfake,1708568207358.0,False,False
Mandarin,unknown,youtube,A-Mei,【AI張惠妹】《流沙》Cover. 陶喆 - YouTube,https://www.youtube.com/watch?v=kpQcqcPWPg0,,deepfake,1708568148155.0,False,False
Mandarin,unknown,youtube,A-Mei,【AI张惠妹】《花田错》Cover. 王力宏 - YouTube,https://www.youtube.com/watch?v=lYMa9_TTgGk,,deepfake,1708568127288.0,False,False
Mandarin,unknown,youtube,A-Mei,【AI張惠妹】《用情》Cover. 張信哲 - YouTube,https://www.youtube.com/watch?v=g150MeoYPaM,,deepfake,1708376967275.0,False,False
Mandarin,unknown,youtube,A-Mei,AI翻唱 AI張惠妹《需要人陪》cover 王力宏 ai cover 這無聲的夜 現在的我 需要人陪 AI张惠妹 高音質 純享版 ai song 320kbps - YouTube,https://www.youtube.com/watch?v=l5nGxiy_uLw,,deepfake,1708303130628.0,False,False
